Product Name,Shipped From,Product Category,Product Price,Product Commission Rate,30 Days Lowest Price,Shop Name,Revenue in Yesterday,Revenue per day in Yesterday,Number of products sold in Yesterday,Number of products sold per day in Yesterday,Avg Unit Price in Yesterday,Live Revenue in Yesterday,Live Revenue per day in Yesterday,Video Revenue in Yesterday,Video Revenue per day in Yesterday,Shopping Mall Revenue in Yesterday,Shopping Mall Revenue per day in Yesterday,Revenue in Last 7 Days,Revenue per day in Last 7 Days,Number of products sold in Last 7 Days,Number of products sold per day in Last 7 Days,Avg Unit Price in Last 7 Days,Live Revenue in Last 7 Days,Live Revenue per day in Last 7 Days,Video Revenue in Last 7 Days,Video Revenue per day in Last 7 Days,Shopping Mall Revenue in Last 7 Days,Shopping Mall Revenue per day in Last 7 Days,Revenue in Last 30 Days,Revenue per day in Last 30 Days,Number of products sold in Last 30 Days,Number of products sold per day in Last 30 Days,Avg Unit Price in Last 30 Days,Live Revenue in Last 30 Days,Live Revenue per day in Last 30 Days,Video Revenue in Last 30 Days,Video Revenue per day in Last 30 Days,Shopping Mall Revenue in Last 30 Days,Shopping Mall Revenue per day in Last 30 Days,Revenue in Last 90 Days,Revenue per day in Last 90 Days,Number of products sold in Last 90 Days,Number of products sold per day in Last 90 Days,Avg Unit Price in Last 90 Days,Live Revenue in Last 90 Days,Live Revenue per day in Last 90 Days,Video Revenue in Last 90 Days,Video Revenue per day in Last 90 Days,Shopping Mall Revenue in Last 90 Days,Shopping Mall Revenue per day in Last 90 Days,Revenue in Last 180 Days,Revenue per day in Last 180 Days,Number of products sold in Last 180 Days,Number of products sold per day in Last 180 Days,Avg Unit Price in Last 180 Days,Live Revenue in Last 180 Days,Live Revenue per day in Last 180 Days,Video Revenue in Last 180 Days,Video Revenue per day in Last 180 Days,Shopping Mall Revenue in Last 180 Days,Shopping Mall Revenue per day in Last 180 Days,Earliest Date Recorded,TikTok Link,Image URLs
"Goli Ashwagandha & Vitamin D Gummy - Mixed Berry, KSM-66, Vegan, Plant Based, Non-GMO, Gluten-Free & Gelatin Free. America's #1 Ashwagandha Brand",Ship From Local,Health > Food Supplement > Fitness Supplements,$13.26,20%,$13.26,Goli Nutrition,$224.04k,$224.04k Per Day,16.9k,16.9k Per Day,$14.08,$946.02k,$31.53k Per Day,$3.34m,$111.21k Per Day,$52.09k,$1.74k Per Day,$1.01m,$144.29k Per Day,76.17k,10.88k Per Day,$14.08,$946.02k,$31.53k Per Day,$3.34m,$111.21k Per Day,$52.09k,$1.74k Per Day,$4.33m,$144.48k Per Day,307.8k,10.26k Per Day,$14.08,$946.02k,$31.53k Per Day,$3.34m,$111.21k Per Day,$52.09k,$1.74k Per Day,$5.51m,$68.07k Per Day,393.18k,4.85k Per Day,$14.08,$946.02k,$31.53k Per Day,$3.34m,$111.21k Per Day,$52.09k,$1.74k Per Day,$5.51m,$68.07k Per Day,393.18k,4.85k Per Day,$14.08,$946.02k,$31.53k Per Day,$3.34m,$111.21k Per Day,$52.09k,$1.74k Per Day,06/29/2024,https://shop.tiktok.com/view/product/1729527313880355335?region=US&locale=en-US,https://www.kalodata.com/product/detail/getImage?imageIndex=1&productId=1729527313880355335
"CAKES covers - Grippy not sticky, medical grade silicone, nipple cover - DO NOT PROVIDE LIFT",Ship From Local,Womenswear & Underwear > Women's Underwear,$26.00,15%,$24.70,CAKES body,$126.15k,$126.15k Per Day,4.85k,4.85k Per Day,$26.66,$656.96k,$21.90k Per Day,$2.26m,$75.37k Per Day,$34.24k,$1.14k Per Day,$515.89k,$73.70k Per Day,19.84k,2.83k Per Day,$26.66,$656.96k,$21.90k Per Day,$2.26m,$75.37k Per Day,$34.24k,$1.14k Per Day,$2.95m,$98.41k Per Day,110.76k,3.69k Per Day,$26.66,$656.96k,$21.90k Per Day,$2.26m,$75.37k Per Day,$34.24k,$1.14k Per Day,$13.13m,$145.88k Per Day,467.27k,5.19k Per Day,$26.66,$656.96k,$21.90k Per Day,$2.26m,$75.37k Per Day,$34.24k,$1.14k Per Day,$14.76m,$82.00k Per Day,529.89k,2.94k Per Day,$26.66,$656.96k,$21.90k Per Day,$2.26m,$75.37k Per Day,$34.24k,$1.14k Per Day,02/06/2024,https://shop.tiktok.com/view/product/1729418496836080191?region=US&locale=en-US,"https://www.kalodata.com/product/detail/getImage?imageIndex=1&productId=1729418496836080191,https://www.kalodata.com/product/detail/getImage?imageIndex=2&productId=1729418496836080191,https://www.kalodata.com/product/detail/getImage?imageIndex=3&productId=1729418496836080191,https://www.kalodata.com/product/detail/getImage?imageIndex=4&productId=1729418496836080191,https://www.kalodata.com/product/detail/getImage?imageIndex=5&productId=1729418496836080191,https://www.kalodata.com/product/detail/getImage?imageIndex=6&productId=1729418496836080191,https://www.kalodata.com/product/detail/getImage?imageIndex=7&productId=1729418496836080191,https://www.kalodata.com/product/detail/getImage?imageIndex=8&productId=1729418496836080191,https://www.kalodata.com/product/detail/getImage?imageIndex=9&productId=1729418496836080191"
Electric Spin Scrubber for Cleaning Bathroom: Cordless Power Shower Scrubber - Electric Cleaning Brush for Tub-zdp,Ship From Local,Household Appliances > Home Appliances > Electric Mops,$24.99 - $499.50,30%,$18.99,RODRIGUEZROCHA,$21.24k,$21.24k Per Day,81,81 Per Day,$260.87,$2.16m,$71.84k Per Day,$7.61k,$253.50 Per Day,$74.34k,$2.48k Per Day,$272.89k,$38.98k Per Day,1.04k,147.86 Per Day,$260.87,$2.16m,$71.84k Per Day,$7.61k,$253.50 Per Day,$74.34k,$2.48k Per Day,$2.24m,$74.57k Per Day,8.58k,285.87 Per Day,$260.87,$2.16m,$71.84k Per Day,$7.61k,$253.50 Per Day,$74.34k,$2.48k Per Day,$2.32m,$25.80k Per Day,8.9k,98.88 Per Day,$260.87,$2.16m,$71.84k Per Day,$7.61k,$253.50 Per Day,$74.34k,$2.48k Per Day,$2.82m,$19.42k Per Day,11.01k,75.92 Per Day,$260.87,$2.16m,$71.84k Per Day,$7.61k,$253.50 Per Day,$74.34k,$2.48k Per Day,04/08/2024,https://shop.tiktok.com/view/product/1729458966608515575?region=US&locale=en-US,https://www.kalodata.com/product/detail/getImage?imageIndex=1&productId=1729458966608515575
EKKO BEATERS (Please size up),Ship From Local,Sports & Outdoor > Sport & Outdoor Clothing > Sports T-shirts,$12.10 - $38.99,10%,$9.74,Ekkovision,$157.75k,$157.75k Per Day,4.05k,4.05k Per Day,$34.93,$100.39k,$3.35k Per Day,$2.02m,$67.18k Per Day,$59.37k,$1.98k Per Day,$562.79k,$80.40k Per Day,14.74k,2.11k Per Day,$34.93,$100.39k,$3.35k Per Day,$2.02m,$67.18k Per Day,$59.37k,$1.98k Per Day,$2.18m,$72.51k Per Day,62.27k,2.08k Per Day,$34.93,$100.39k,$3.35k Per Day,$2.02m,$67.18k Per Day,$59.37k,$1.98k Per Day,$2.18m,$72.51k Per Day,62.27k,2.08k Per Day,$34.93,$100.39k,$3.35k Per Day,$2.02m,$67.18k Per Day,$59.37k,$1.98k Per Day,$6.66m,$36.98k Per Day,179.53k,997.39 Per Day,$34.93,$100.39k,$3.35k Per Day,$2.02m,$67.18k Per Day,$59.37k,$1.98k Per Day,11/24/2023,https://shop.tiktok.com/view/product/1729412251341459509?region=US&locale=en-US,"https://www.kalodata.com/product/detail/getImage?imageIndex=1&productId=1729412251341459509,https://www.kalodata.com/product/detail/getImage?imageIndex=2&productId=1729412251341459509,https://www.kalodata.com/product/detail/getImage?imageIndex=3&productId=1729412251341459509,https://www.kalodata.com/product/detail/getImage?imageIndex=4&productId=1729412251341459509,https://www.kalodata.com/product/detail/getImage?imageIndex=5&productId=1729412251341459509,https://www.kalodata.com/product/detail/getImage?imageIndex=6&productId=1729412251341459509,https://www.kalodata.com/product/detail/getImage?imageIndex=7&productId=1729412251341459509,https://www.kalodata.com/product/detail/getImage?imageIndex=8&productId=1729412251341459509"
"Micro Ingredients Multi Collagen Peptides Powder 1Lb / 2Lb - Hydrolyzed Protein Peptides (Type I,II,III,V,X) with Hyaluronic Acid, Biotin & Vitamin C - Unflavored",Ship From Local,Health > Food Supplement > Beauty Supplements,$25.23 - $35.10,15%,$25.23,Micro Ingredients,$208.90k,$208.90k Per Day,6.56k,6.56k Per Day,$31.82,$1.20m,$40.05k Per Day,$928.11k,$30.94k Per Day,$38.73k,$1.29k Per Day,$842.06k,$120.29k Per Day,26.46k,3.78k Per Day,$31.82,$1.20m,$40.05k Per Day,$928.11k,$30.94k Per Day,$38.73k,$1.29k Per Day,$2.17m,$72.28k Per Day,68.14k,2.27k Per Day,$31.82,$1.20m,$40.05k Per Day,$928.11k,$30.94k Per Day,$38.73k,$1.29k Per Day,$8.19m,$91.00k Per Day,258.02k,2.87k Per Day,$31.82,$1.20m,$40.05k Per Day,$928.11k,$30.94k Per Day,$38.73k,$1.29k Per Day,$23.50m,$130.55k Per Day,753.78k,4.19k Per Day,$31.82,$1.20m,$40.05k Per Day,$928.11k,$30.94k Per Day,$38.73k,$1.29k Per Day,11/13/2023,https://shop.tiktok.com/view/product/1729385034780414637?region=US&locale=en-US,https://www.kalodata.com/product/detail/getImage?imageIndex=1&productId=1729385034780414637
"15 Day Cleanse - Gut and Colon Support | Caffeine Free | Advanced Formula with Senna, Cascara Sagrada, & Psyllium Husk | Non-GMO | 30 capsules",Ship From Local,Health > Food Supplement > Beauty Supplements,$7.40 - $20.00,25%,$7.40,Milamiamor,$2.02m,$67.21k Per Day,115.45k,3.85k Per Day,$17.47,$966.92k,$32.23k Per Day,$987.01k,$32.90k Per Day,$62.36k,$2.08k Per Day,$299.37k,$42.77k Per Day,17.34k,2.48k Per Day,$17.47,$966.92k,$32.23k Per Day,$987.01k,$32.90k Per Day,$62.36k,$2.08k Per Day,$2.02m,$67.21k Per Day,115.45k,3.85k Per Day,$17.47,$966.92k,$32.23k Per Day,$987.01k,$32.90k Per Day,$62.36k,$2.08k Per Day,$10.26m,$114.01k Per Day,623.39k,6.93k Per Day,$17.47,$966.92k,$32.23k Per Day,$987.01k,$32.90k Per Day,$62.36k,$2.08k Per Day,$26.73m,$148.50k Per Day,1.56m,8.66k Per Day,$17.47,$966.92k,$32.23k Per Day,$987.01k,$32.90k Per Day,$62.36k,$2.08k Per Day,10/14/2023,https://shop.tiktok.com/view/product/1729401873273951198?region=US&locale=en-US,https://www.kalodata.com/product/detail/getImage?imageIndex=1&productId=1729401873273951198
GOPURE Neck Cream - Tighten & Lift Firming Neck Cream for Crepey Skin,Ship From Local,Beauty & Personal Care > Skincare > Moisturisers & Mists,$39.00 - $42.00,20%,$34.00,Gopure,$91.73k,$91.73k Per Day,2.27k,2.27k Per Day,$40.11,$472.42k,$15.75k Per Day,$1.42m,$47.50k Per Day,$5.63k,$187.65 Per Day,$515.63k,$73.66k Per Day,13.33k,1.9k Per Day,$40.11,$472.42k,$15.75k Per Day,$1.42m,$47.50k Per Day,$5.63k,$187.65 Per Day,$1.90m,$63.43k Per Day,47.44k,1.58k Per Day,$40.11,$472.42k,$15.75k Per Day,$1.42m,$47.50k Per Day,$5.63k,$187.65 Per Day,$5.84m,$64.91k Per Day,145.99k,1.62k Per Day,$40.11,$472.42k,$15.75k Per Day,$1.42m,$47.50k Per Day,$5.63k,$187.65 Per Day,$11.35m,$63.05k Per Day,299.58k,1.66k Per Day,$40.11,$472.42k,$15.75k Per Day,$1.42m,$47.50k Per Day,$5.63k,$187.65 Per Day,10/02/2023,https://shop.tiktok.com/view/product/1729397194585903513?region=US&locale=en-US,"https://www.kalodata.com/product/detail/getImage?imageIndex=1&productId=1729397194585903513,https://www.kalodata.com/product/detail/getImage?imageIndex=2&productId=1729397194585903513,https://www.kalodata.com/product/detail/getImage?imageIndex=3&productId=1729397194585903513,https://www.kalodata.com/product/detail/getImage?imageIndex=4&productId=1729397194585903513,https://www.kalodata.com/product/detail/getImage?imageIndex=5&productId=1729397194585903513,https://www.kalodata.com/product/detail/getImage?imageIndex=6&productId=1729397194585903513,https://www.kalodata.com/product/detail/getImage?imageIndex=7&productId=1729397194585903513,https://www.kalodata.com/product/detail/getImage?imageIndex=8&productId=1729397194585903513"
"9-Drawer Dresser, Storage Unit Organizer Chest for Clothes, Tall Dresser & Chest of Drawers for Bedroom, Hallway, Living Room, Closet, & Dorm Furniture - Steel Frame, Wood Top",Ship From Local,Home Supplies > Home Organizers > Storage Boxes & Bins,$50.59 - $70.99,12%,$45.00,MyDepot,$7.62k,$7.62k Per Day,123,123 Per Day,$61.99,$1.37m,$45.78k Per Day,$357.25k,$11.91k Per Day,$0.00,$0.00 Per Day,$68.13k,$9.73k Per Day,1.1k,157 Per Day,$61.99,$1.37m,$45.78k Per Day,$357.25k,$11.91k Per Day,$0.00,$0.00 Per Day,$1.73m,$57.68k Per Day,27.92k,930.53 Per Day,$61.99,$1.37m,$45.78k Per Day,$357.25k,$11.91k Per Day,$0.00,$0.00 Per Day,$8.16m,$90.72k Per Day,131.62k,1.46k Per Day,$61.99,$1.37m,$45.78k Per Day,$357.25k,$11.91k Per Day,$0.00,$0.00 Per Day,$8.43m,$75.31k Per Day,135.94k,1.21k Per Day,$61.99,$1.37m,$45.78k Per Day,$357.25k,$11.91k Per Day,$0.00,$0.00 Per Day,05/28/2024,https://shop.tiktok.com/view/product/1729477193790165820?region=US&locale=en-US,https://www.kalodata.com/product/detail/getImage?imageIndex=1&productId=1729477193790165820
Wavytalk Negative Ion Single Thermal brush 1.5 Inch,Ship From Local,Beauty & Personal Care > Personal Care Appliances > Curlers & Straighteners,$29.99 - $37.98,8%,$29.99,wavytalk,$111.64k,$111.64k Per Day,2.94k,2.94k Per Day,$31.77,$198.25k,$6.61k Per Day,$1.32m,$43.92k Per Day,$37.06k,$1.24k Per Day,$531.25k,$75.89k Per Day,14.81k,2.12k Per Day,$31.77,$198.25k,$6.61k Per Day,$1.32m,$43.92k Per Day,$37.06k,$1.24k Per Day,$1.55m,$51.76k Per Day,48.88k,1.63k Per Day,$31.77,$198.25k,$6.61k Per Day,$1.32m,$43.92k Per Day,$37.06k,$1.24k Per Day,$4.03m,$44.78k Per Day,130.99k,1.46k Per Day,$31.77,$198.25k,$6.61k Per Day,$1.32m,$43.92k Per Day,$37.06k,$1.24k Per Day,$7.03m,$39.04k Per Day,242.68k,1.35k Per Day,$31.77,$198.25k,$6.61k Per Day,$1.32m,$43.92k Per Day,$37.06k,$1.24k Per Day,10/09/2023,https://shop.tiktok.com/view/product/1729403338518794392?region=US&locale=en-US,https://www.kalodata.com/product/detail/getImage?imageIndex=1&productId=1729403338518794392
"3 Bottles of Goli Ashwagandha & Vitamin D Gummy - Mixed Berry, KSM-66, Vegan, Plant Based, Non-GMO, Gluten-Free & Gelatin Free.",Ship From Local,N/A,$31.35,-,$31.35,Goli Nutrition,$221.99k,$221.99k Per Day,7.08k,7.08k Per Day,$31.37,$845.93k,$31.33k Per Day,$443.09k,$16.41k Per Day,$70.91k,$2.63k Per Day,$717.41k,$102.49k Per Day,22.88k,3.27k Per Day,$31.37,$845.93k,$31.33k Per Day,$443.09k,$16.41k Per Day,$70.91k,$2.63k Per Day,$1.36m,$50.37k Per Day,43.35k,1.61k Per Day,$31.37,$845.93k,$31.33k Per Day,$443.09k,$16.41k Per Day,$70.91k,$2.63k Per Day,$1.36m,$50.37k Per Day,43.35k,1.61k Per Day,$31.37,$845.93k,$31.33k Per Day,$443.09k,$16.41k Per Day,$70.91k,$2.63k Per Day,$1.36m,$50.37k Per Day,43.35k,1.61k Per Day,$31.37,$845.93k,$31.33k Per Day,$443.09k,$16.41k Per Day,$70.91k,$2.63k Per Day,08/22/2024,https://shop.tiktok.com/view/product/1729587769570529799?region=US&locale=en-US,"https://www.kalodata.com/product/detail/getImage?imageIndex=1&productId=1729587769570529799,https://www.kalodata.com/product/detail/getImage?imageIndex=2&productId=1729587769570529799,https://www.kalodata.com/product/detail/getImage?imageIndex=3&productId=1729587769570529799,https://www.kalodata.com/product/detail/getImage?imageIndex=4&productId=1729587769570529799,https://www.kalodata.com/product/detail/getImage?imageIndex=5&productId=1729587769570529799,https://www.kalodata.com/product/detail/getImage?imageIndex=6&productId=1729587769570529799"
